Cliente,Genero,Aposentado,Casado,Dependentes,T_Empregado,ServiçoLinha,MultiplasLinhas,ServicoInternet,SegurancaOnline,OnlineBackup,ProtecaoEquip,SeguroAdicional,StreamingTV,FilmesStreaming,TIpoContrato,ContaImpresso,MetodoPagamento,ValorPlano,ContaTotal,Churn
"7590-VHVEG,""Feminino"",0,""sim"",""nao"",1,""nao"",""Sem servicos"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",29.850000,29.850000,""nao"""
"5575-GNVDE,""Masculino"",0,""nao"",""nao"",34,""sim"",""nao"",""DSL"",""sim"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pos-pago"",""nao"",""Conta Correio"",56.950000,1889.500000,""nao"""
"3668-QPYBK,""Masculino"",0,""nao"",""nao"",2,""sim"",""nao"",""DSL"",""sim"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Conta Correio"",53.850000,108.150000,""sim"""
"7795-CFOCW,""Masculino"",0,""nao"",""nao"",45,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pos-pago"",""nao"",""Transferencia"",42.300000,1840.750000,""nao"""
"9237-HQITU,""Feminino"",0,""nao"",""nao"",2,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",70.700000,151.650000,""sim"""
"9305-CDSKC,""Feminino"",0,""nao"",""nao"",8,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",99.650000,820.500000,""sim"""
"1452-KIOVK,""Masculino"",0,""nao"",""sim"",22,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Cartao de Credito"",89.100000,1949.400000,""nao"""
"6713-OKOMC,""Feminino"",0,""nao"",""nao"",10,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",29.750000,301.900000,""nao"""
"7892-POOKP,""Feminino"",0,""sim"",""nao"",28,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""sim"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",104.800000,3046.050000,""sim"""
"6388-TABGU,""Masculino"",0,""nao"",""sim"",62,""sim"",""nao"",""DSL"",""sim"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pos-pago"",""nao"",""Transferencia"",56.150000,3487.950000,""nao"""
