"Fidelidade","Cerveja","Vinho","Refrigerante","Peixe","Confeitaria"
"39808","F","F","F","F","T"
"67362","F","F","F","F","T"
"10872","T","F","F","T","F"
"26748","F","T","F","F","F"
"91609","F","F","F","F","F"
"26630","F","T","F","T","F"
"62995","F","F","T","F","F"
"38765","T","F","F","F","F"
"28935","F","F","F","F","F"
"41792","F","F","F","T","F"
"59480","F","T","F","T","F"
"60755","F","F","F","T","F"
"70998","F","F","F","T","F"
"80617","F","F","T","T","F"
"61144","F","F","T","T","F"
"36405","T","F","T","F","F"
"76567","F","F","F","T","F"
"85699","F","F","F","T","F"
"11357","T","F","F","T","F"
"97761","F","T","F","T","T"
"20362","F","F","F","T","F"
"33173","F","T","F","F","T"
"69934","F","F","F","T","F"
"14743","T","T","F","F","F"
"83071","T","F","F","F","T"
"17571","T","F","F","F","F"
"37917","F","T","F","F","T"
"11236","F","F","F","F","F"
"47914","F","T","F","T","T"
"58154","F","F","F","F","F"
"35197","T","T","F","T","F"
"64892","F","T","F","F","F"
"102467","T","T","F","F","F"
"56677","F","F","F","F","F"
"94105","F","F","T","F","F"
"63817","F","F","F","F","F"
"44887","F","F","F","F","F"
"69720","F","F","F","F","F"
"97267","F","F","F","T","T"
"53750","F","T","F","F","T"
"109530","T","F","F","F","F"
"65493","F","F","T","F","F"
"96694","T","T","F","T","F"
"46730","F","F","F","F","F"
"60499","F","F","F","F","F"
"73004","F","T","F","F","F"
"21787","F","F","F","T","F"
"28314","F","T","F","F","T"
"24651","F","T","T","F","T"
"29367","F","F","F","F","F"
"15072","F","F","F","F","F"
"33622","T","T","F","T","F"
"42167","F","T","T","F","F"
"43550","T","F","T","F","F"
"18724","T","F","F","F","F"
"91019","F","T","F","F","F"
"68193","F","F","F","F","F"
"35262","T","T","F","F","F"
"93401","F","T","F","T","T"
"15177","F","F","F","F","T"
"96173","F","F","T","F","F"
"50180","F","F","T","F","T"
"31828","F","F","F","T","F"
"62022","F","T","F","F","T"
"105225","F","F","F","F","T"
"64668","T","F","T","F","F"
"53320","F","F","T","T","F"
"15068","T","F","F","F","F"
"99849","F","F","F","F","F"
"63694","F","F","F","F","F"
"24874","F","T","F","F","T"
"104988","F","F","F","F","F"
"84902","F","F","F","F","F"
"96512","T","T","F","F","T"
"99575","F","F","F","T","F"
"33413","F","T","F","F","T"
"57678","F","F","F","F","F"
"89425","T","F","F","T","F"
"60571","F","F","F","T","F"
"76095","T","F","F","F","F"
"48247","F","F","F","F","F"
"88019","F","F","F","F","F"
"30850","F","F","F","T","F"
"66117","F","F","F","T","F"
"97377","T","F","F","F","F"
"101722","F","F","F","T","F"
"43498","F","F","F","F","F"
"44562","F","F","T","F","F"
"74710","F","F","F","F","F"
"85585","F","T","T","F","T"
"97287","T","T","F","T","F"
"19268","F","F","F","F","F"
"50150","F","T","T","T","F"
"67455","T","F","F","F","F"
"16350","F","F","F","F","F"
"42778","T","F","T","F","F"
"98181","F","F","T","F","T"
"106522","T","F","F","F","F"
"36278","F","F","T","F","F"
"26130","F","T","F","F","F"
"57851","T","F","F","F","T"
"81971","F","F","F","T","F"
"57068","F","F","F","F","F"
"69122","F","F","F","F","F"
"68489","F","F","F","T","F"
"46471","F","F","F","F","F"
"88359","F","F","F","F","T"
"44294","T","F","F","F","F"
"95604","T","T","F","T","F"
"103596","F","F","T","F","F"
"103473","F","F","F","F","F"
"94467","T","F","T","T","F"
"38097","T","T","F","T","F"
"49632","F","F","F","T","T"
"82558","T","T","T","F","F"
"50324","F","F","T","T","F"
"38468","F","F","F","F","F"
"38055","F","F","F","F","F"
"74876","T","F","F","F","T"
"18079","F","T","F","F","F"
"16316","F","F","F","T","F"
"37166","T","F","F","T","F"
"18334","F","T","F","F","T"
"102645","F","F","F","F","F"
"101100","T","T","F","F","F"
"64861","T","F","F","F","T"
"19041","F","F","F","T","F"
"85771","F","T","F","F","T"
"79303","F","F","F","T","F"
"92675","F","F","F","F","F"
"71690","T","F","T","T","F"
"86350","F","F","T","F","F"
"88260","F","F","F","F","F"
"86759","F","F","F","F","F"
"49861","T","F","F","F","F"
"21543","F","T","T","F","F"
"70481","T","F","T","T","F"
"29944","T","F","T","T","F"
